Drug,Docking_Score (kcal/mol),MW (Da),LogP,HBD,HBA,RotB,TPSA (A2),QED,Ro5_Violations,Lipinski_Pass
Midostaurin,-10.14,385.47,6.97,2,0,2,36.51,0.322,1,Yes
Tucatinib,-9.741,374.38,3.63,2,5,4,96.45,0.569,0,Yes
Capmatinib,-9.668,396.43,4.52,1,5,4,80.24,0.483,0,Yes
Bagrosin,-9.544,151.16,1.35,2,2,1,49.33,0.595,0,Yes
Nafamostat,-9.203,347.38,2.25,4,4,4,140.57,0.248,0,Yes
Cefalexin,-9.122,347.4,0.44,3,5,4,112.73,0.682,0,Yes
Selinexor,-9.079,391.31,1.46,2,6,3,114.69,0.654,0,Yes
Moxifloxacin,-9.063,401.44,2.37,2,5,4,83.8,0.819,0,Yes
Flavoxate,-9.053,344.37,1.11,0,6,4,80.06,0.611,0,Yes
Cefradine,-9.043,349.41,0.35,3,5,4,112.73,0.499,0,Yes
Loracarbef,-9.035,335.75,-0.03,3,4,4,112.73,0.669,0,Yes
Lorpiprazole,-9.03,386.89,2.15,0,5,6,58.67,0.607,0,Yes
Cefaclor,-9.028,383.81,0.33,4,6,4,132.96,0.55,0,Yes
Radotinib,-8.977,493.62,4.59,2,7,7,86.28,0.389,0,Yes
Canagliflozin,-8.971,470.56,3.39,4,6,6,90.15,0.442,0,Yes
