ML_Rank,Drug,Raw_Vina_Rank,Rank_Shift,Docking_Score,Ligand_Efficiency (LE),Fit_Quality (FQ),TPSA,LogP,Total_Interactions,ML_Corrected_Score,Core_Fragment,Repurposing_Tier
1,Bagrosin,4,3,-9.544,0.795,1.114,49.33,1.35,13,0.832,Phenol / Acetamide Scaffold,Tier 1: High-Affinity Ro5-Compliant
2,Tucatinib,2,0,-9.741,0.278,0.952,96.45,3.63,10,0.5147,Quinazoline / Imidazopyridine,Tier 1: High-Affinity Ro5-Compliant
3,Capmatinib,3,0,-9.668,0.322,0.98,80.24,4.52,12,0.5029,"Imidazo[1,2-b][1,2,4]triazine",Tier 1: High-Affinity Ro5-Compliant
4,Moxifloxacin,8,4,-9.063,0.313,0.927,83.8,2.37,13,0.4946,Fluoroquinolone / Diazabicyclo,Tier 1: High-Feasibility Antibacterial
5,Midostaurin,1,-4,-10.14,0.23,0.931,36.51,6.97,11,0.4918,Staurosporine Aglycone Core,Tier 2: High-Affinity Multicyclic Scaffold
6,Nafamostat,5,-1,-9.203,0.368,0.968,140.57,2.25,14,0.4703,Guanidinobenzoate Ester,Tier 1: High-Affinity Ro5-Compliant
7,Flavoxate,9,2,-9.053,0.312,0.924,80.06,1.11,13,0.4606,Flavone Chromone Ring,Tier 3: Secondary Candidate
8,Cefalexin,6,-2,-9.122,0.38,0.967,112.73,0.44,13,0.4528,3-Methyl-Cephem Core,Tier 1: High-Feasibility Antibacterial
9,Cefradine,10,1,-9.043,0.377,0.96,112.73,0.35,13,0.4387,Dihydrophenyl-Cephem,Tier 1: High-Feasibility Antibacterial
10,Loracarbef,11,1,-9.035,0.376,0.957,112.73,-0.03,15,0.4384,Carbacephem Ring,Tier 1: High-Feasibility Antibacterial
11,Selinexor,7,-4,-9.079,0.293,0.915,114.69,1.46,9,0.4357,Triazole-Acryloyl Core,Tier 3: Secondary Candidate
12,Cefaclor,13,1,-9.028,0.361,0.95,132.96,0.33,16,0.4344,2-Chloro-Cephem Core,Tier 1: High-Feasibility Antibacterial
13,Lorpiprazole,12,-1,-9.03,0.311,0.921,58.67,2.15,11,0.4293,Chlorophenyl-Piperazine,Tier 3: Secondary Candidate
14,Canagliflozin,15,1,-8.971,0.289,0.902,90.15,3.39,12,0.426,Thiophene / Glucoside Core,Tier 3: Secondary Candidate
15,Radotinib,14,-1,-8.977,0.23,0.854,86.28,4.59,9,0.3336,Phenylaminopyrimidine,Tier 3: Secondary Candidate
