Drug_Name,Vina_Score_kcal_mol,Output_File
midostaurin,-10.123,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\midostaurin_docked.pdbqt
tucatinib,-9.665,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tucatinib_docked.pdbqt
capmatinib,-9.642,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\capmatinib_docked.pdbqt
bagrosin,-9.545,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\bagrosin_docked.pdbqt
nafamostat,-9.191,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nafamostat_docked.pdbqt
cefalexin,-9.105,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cefalexin_docked.pdbqt
selinexor,-9.084,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\selinexor_docked.pdbqt
flavoxate,-9.076,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\flavoxate_docked.pdbqt
cefaclor,-9.054,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cefaclor_docked.pdbqt
cefradine,-9.045,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cefradine_docked.pdbqt
loracarbef,-9.024,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\loracarbef_docked.pdbqt
lorpiprazole,-9.012,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lorpiprazole_docked.pdbqt
moxifloxacin,-8.999,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\moxifloxacin_docked.pdbqt
radotinib,-8.968,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\radotinib_docked.pdbqt
canagliflozin,-8.966,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\canagliflozin_docked.pdbqt
