Drug_Name,Vina_Score_kcal_mol,Output_File
midostaurin,-10.123,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\midostaurin_docked.pdbqt
tucatinib,-9.665,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tucatinib_docked.pdbqt
capmatinib,-9.642,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\capmatinib_docked.pdbqt
bagrosin,-9.545,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\bagrosin_docked.pdbqt
nafamostat,-9.191,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nafamostat_docked.pdbqt
cefalexin,-9.105,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cefalexin_docked.pdbqt
selinexor,-9.084,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\selinexor_docked.pdbqt
flavoxate,-9.076,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\flavoxate_docked.pdbqt
cefaclor,-9.054,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cefaclor_docked.pdbqt
cefradine,-9.045,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cefradine_docked.pdbqt
loracarbef,-9.024,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\loracarbef_docked.pdbqt
lorpiprazole,-9.012,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lorpiprazole_docked.pdbqt
moxifloxacin,-8.999,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\moxifloxacin_docked.pdbqt
radotinib,-8.968,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\radotinib_docked.pdbqt
canagliflozin,-8.966,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\canagliflozin_docked.pdbqt
larotrectinib,-8.964,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\larotrectinib_docked.pdbqt
empagliflozin,-8.924,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\empagliflozin_docked.pdbqt
levosimendan,-8.921,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\levosimendan_docked.pdbqt
piketoprofen,-8.893,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\piketoprofen_docked.pdbqt
delgocitinib,-8.881,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\delgocitinib_docked.pdbqt
cefroxadine,-8.877,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cefroxadine_docked.pdbqt
florantyrone,-8.841,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\florantyrone_docked.pdbqt
bentiromide,-8.839,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\bentiromide_docked.pdbqt
apomorphine,-8.834,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\apomorphine_docked.pdbqt
nilutamide,-8.832,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nilutamide_docked.pdbqt
ciprofloxacin,-8.817,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ciprofloxacin_docked.pdbqt
doravirine,-8.815,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\doravirine_docked.pdbqt
vibegron,-8.814,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\vibegron_docked.pdbqt
ipragliflozin,-8.812,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ipragliflozin_docked.pdbqt
isoxepac,-8.763,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\isoxepac_docked.pdbqt
tadalafil,-8.736,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tadalafil_docked.pdbqt
azidocillin,-8.717,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\azidocillin_docked.pdbqt
leteprinim,-8.676,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\leteprinim_docked.pdbqt
dicoumarol,-8.645,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dicoumarol_docked.pdbqt
norfloxacin,-8.642,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\norfloxacin_docked.pdbqt
nomegestrol,-8.642,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nomegestrol_docked.pdbqt
lomefloxacin,-8.638,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lomefloxacin_docked.pdbqt
amlexanox,-8.632,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\amlexanox_docked.pdbqt
repirinast,-8.631,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\repirinast_docked.pdbqt
oxabolone,-8.627,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\oxabolone_docked.pdbqt
tezacaftor,-8.611,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tezacaftor_docked.pdbqt
xyloylsulfamine,-8.596,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\xyloylsulfamine_docked.pdbqt
pranoprofen,-8.577,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pranoprofen_docked.pdbqt
